case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 3,1520,injection-562-micron,7,0.0006297898,0.62979,31.21,face-normal,24.22817,-24.22817,0,31.11,0.09707,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10898.0,""mass_flow_kgs"":31.11}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":34.0,""mass_flow_kgs"":0.09707}]",0,10898,34,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-844-micron,8,0.0009446847,0.944685,31.21,face-normal,24.22817,-24.22817,0,31.1,0.1085,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10894.0,""mass_flow_kgs"":31.1}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":38.0,""mass_flow_kgs"":0.1085}]",0,10894,38,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-1631-micron,9,0.00182639,1.82639,31.21,face-normal,24.22817,-24.22817,0,31.1,0.1113,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10893.0,""mass_flow_kgs"":31.1}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":39.0,""mass_flow_kgs"":0.1113}]",0,10893,39,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-5-micron,1,5.621362e-06,0.005621,0.189995,face-normal,26.865069,-26.865069,0.01655,0.0373,0.1362,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":952.0,""mass_flow_kgs"":0.01655}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":2146.0,""mass_flow_kgs"":0.0373}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":7834.0,""mass_flow_kgs"":0.1362}]",952,2146,7834,0.087107555462,
Case 4,1600,injection-28-micron,2,2.810681e-05,0.028107,0.780441,face-normal,26.865069,-26.865069,0,0.3547,0.4257,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":4969.0,""mass_flow_kgs"":0.3547}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5963.0,""mass_flow_kgs"":0.4257}]",0,4969,5963,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-56-micron,3,5.621362e-05,0.056214,0.970436,face-normal,26.865069,-26.865069,0,0.4551,0.5153,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5127.0,""mass_flow_kgs"":0.4551}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5805.0,""mass_flow_kgs"":0.5153}]",0,5127,5805,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-112-micron,4,0.0001124272,0.112427,1.952564,face-normal,26.865069,-26.865069,0,1.025,0.9281,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5736.0,""mass_flow_kgs"":1.025}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5196.0,""mass_flow_kgs"":0.9281}]",0,5736,5196,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-168-micron,5,0.0001686409,0.168641,1.952564,face-normal,26.865069,-26.865069,0,1.186,0.767,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":6638.0,""mass_flow_kgs"":1.186}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4294.0,""mass_flow_kgs"":0.767}]",0,6638,4294,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-348-micron,6,0.0003485244,0.348524,23.384,face-normal,26.865069,-26.865069,0,22.43,0.9562,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10485.0,""mass_flow_kgs"":22.43}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":447.0,""mass_flow_kgs"":0.9562}]",0,10485,447,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-562-micron,7,0.0005621362,0.562136,29.23,face-normal,26.865069,-26.865069,0,29.18,0.0508,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10913.0,""mass_flow_kgs"":29.18}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":19.0,""mass_flow_kgs"":0.0508}]",0,10913,19,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-844-micron,8,0.0008432043,0.843204,29.23,face-normal,26.865069,-26.865069,0,29.16,0.06952,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10906.0,""mass_flow_kgs"":29.16}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":26.0,""mass_flow_kgs"":0.06952}]",0,10906,26,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-1631-micron,9,0.001630195,1.630195,29.23,face-normal,26.865069,-26.865069,0,29.17,0.05882,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10910.0,""mass_flow_kgs"":29.17}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":22.0,""mass_flow_kgs"":0.05882}]",0,10910,22,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-5-micron,1,5.071217e-06,0.005071,0.177125,face-normal,29.501968,-29.501968,0.01896,0.03513,0.123,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":1170.0,""mass_flow_kgs"":0.01896}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":2168.0,""mass_flow_kgs"":0.03513}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":7594.0,""mass_flow_kgs"":0.123}]",1170,2168,7594,0.107043048694,
Case 5,1680,injection-28-micron,2,2.535609e-05,0.025356,0.727575,face-normal,29.501968,-29.501968,0,0.3251,0.4025,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":4884.0,""mass_flow_kgs"":0.3251}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6048.0,""mass_flow_kgs"":0.4025}]",0,4884,6048,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-56-micron,3,5.071217e-05,0.050712,0.9047,face-normal,29.501968,-29.501968,0,0.4156,0.4891,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5022.0,""mass_flow_kgs"":0.4156}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5910.0,""mass_flow_kgs"":0.4891}]",0,5022,5910,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-112-micron,4,0.0001014243,0.101424,1.8203,face-normal,29.501968,-29.501968,0,0.9078,0.9125,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5452.0,""mass_flow_kgs"":0.9078}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5480.0,""mass_flow_kgs"":0.9125}]",0,5452,5480,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-168-micron,5,0.0001521365,0.152137,1.8203,face-normal,29.501968,-29.501968,0,1.025,0.7949,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":6158.0,""mass_flow_kgs"":1.025}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4774.0,""mass_flow_kgs"":0.7949}]",0,6158,4774,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-348-micron,6,0.0003144155,0.314415,21.8,face-normal,29.501968,-29.501968,0,19.37,2.431,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":9713.0,""mass_flow_kgs"":19.37}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":1219.0,""mass_flow_kgs"":2.431}]",0,9713,1219,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-562-micron,7,0.0005071217,0.507122,27.25,face-normal,29.501968,-29.501968,0,27.24,0.01496,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10926.0,""mass_flow_kgs"":27.24}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6.0,""mass_flow_kgs"":0.01496}]",0,10926,6,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-844-micron,8,0.0007606826,0.760683,27.25,face-normal,29.501968,-29.501968,0,27.22,0.0349,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10918.0,""mass_flow_kgs"":27.22}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":14.0,""mass_flow_kgs"":0.0349}]",0,10918,14,0,escaped_kgs set to 0; no escaped fate row in per-injection report
