guarded_log: /Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: started pid=94273 mode=quiet
run_guarded: running elapsed=3h50m23s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=3h55m23s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h00m23s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h05m24s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h10m25s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h15m25s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h20m25s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h25m25s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h30m26s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h35m27s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h40m27s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h45m28s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h50m28s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=4h55m29s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h00m29s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h05m30s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h10m30s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h15m31s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h20m32s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h25m33s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h30m33s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h35m34s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h40m34s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h45m35s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h50m35s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=5h55m35s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h00m35s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h05m36s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h10m37s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h15m37s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h20m38s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h25m39s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h30m40s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h35m40s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h40m40s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h45m41s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h50m42s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=6h55m42s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h00m43s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h05m43s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h10m44s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h15m44s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h20m44s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h25m44s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h30m44s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
