case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 3,1520,injection-2,3,4.825892e-05,0.048259,1.036172,face-normal,30.862273,-30.862273,0.7959,0.2402,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6683.0,""mass_flow_kgs"":0.7959}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2017.0,""mass_flow_kgs"":0.2402}]",,6683,2017,0,0.76811571824,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 3,1520,injection-3,4,9.651784e-05,0.096518,2.084828,face-normal,30.862273,-30.862273,0.1028,0.5897,1.392,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":429.0,""mass_flow_kgs"":0.1028}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2461.0,""mass_flow_kgs"":0.5897}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5810.0,""mass_flow_kgs"":1.392}]",429,2461,5810,0.0493086240208,
Case 3,1520,injection-4,5,0.0001447768,0.144777,2.084828,face-normal,30.862273,-30.862273,0.03523,0.6163,1.433,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":147.0,""mass_flow_kgs"":0.03523}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2572.0,""mass_flow_kgs"":0.6163}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5981.0,""mass_flow_kgs"":1.433}]",147,2572,5981,0.0168982765005,
Case 3,1520,injection-5,6,0.0002992053,0.299205,24.968,face-normal,30.862273,-30.862273,0,7.597,17.37,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2647.0,""mass_flow_kgs"":7.597}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6053.0,""mass_flow_kgs"":17.37}]",0,2647,6053,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-6,7,0.0004825892,0.482589,31.21,face-normal,30.862273,-30.862273,0,9.417,21.79,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2625.0,""mass_flow_kgs"":9.417}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6075.0,""mass_flow_kgs"":21.79}]",0,2625,6075,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-7,8,0.0007238838,0.723884,31.21,face-normal,30.862273,-30.862273,0,9.094,22.12,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2535.0,""mass_flow_kgs"":9.094}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6165.0,""mass_flow_kgs"":22.12}]",0,2535,6165,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-8,9,0.001399509,1.399509,31.21,face-normal,30.862273,-30.862273,0,8.229,22.98,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2294.0,""mass_flow_kgs"":8.229}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6406.0,""mass_flow_kgs"":22.98}]",0,2294,6406,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-0,1,4.307482e-06,0.004307,0.189995,face-normal,34.221202,-34.221202,0.1894,0.0006115,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8672.0,""mass_flow_kgs"":0.1894}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":28.0,""mass_flow_kgs"":0.0006115}]",,8672,28,0,0.99686833864,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 4,1600,injection-1,2,2.153741e-05,0.021537,0.780441,face-normal,34.221202,-34.221202,0.7504,0.03005,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8365.0,""mass_flow_kgs"":0.7504}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":335.0,""mass_flow_kgs"":0.03005}]",,8365,335,0,0.961507660413,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 4,1600,injection-2,3,4.307482e-05,0.043075,0.970436,face-normal,34.221202,-34.221202,0.7722,0.1982,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6923.0,""mass_flow_kgs"":0.7722}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1777.0,""mass_flow_kgs"":0.1982}]",,6923,1777,0,0.795724808231,incomplete_kgs set to 0; no incomplete fate row in per-injection report
